ID,PSNR,SSIM,MSE
EAD2020_frameOnly_00870,26.68648223,0.875269055,0.002144627
EAD2020_frameOnly_00871,27.78507611,0.847785115,0.0016653
EAD2020_frameOnly_01109,27.03271654,0.894876778,0.001980288
EAD2020_frameOnly_01246,26.87444156,0.857153356,0.002053789
EAD2020_frameOnly_01346,27.4209558,0.906788945,0.001810941
EAD2020_frameOnly_01397,24.4173494,0.825118661,0.003616305
EAD2020_frameOnly_01739,26.92583698,0.900354505,0.002029627
EDD2020_SA144510022,25.89705836,0.898757815,0.002572137
EDD2020_SA144510026,25.36306366,0.887465119,0.002908665
EDD2020_SA144510039,25.38684856,0.897856355,0.002892778
kvasir_esophagus_1026,30.80138057,0.933778048,0.000831499
kvasir_esophagus_1035,27.20637854,0.85739994,0.001902664
kvasir_esophagus_1122,30.41770106,0.92686069,0.000908301
kvasir_esophagus_1133,26.57169735,0.903252184,0.002202066
kvasir_esophagus_1138,28.29104245,0.901368439,0.001482162
kvasir_esophagus_1142,28.55832327,0.882458448,0.001393695
kvasir_esophagus_1212,27.11720002,0.89798218,0.001942138
kvasir_esophagus_1215,28.3080293,0.913991928,0.001476376
kvasir_esophagus_1237,27.06512816,0.881291807,0.001965564
kvasir_esophagus_1252,25.73281846,0.884296954,0.002671272
kvasir_esophagus_1260,28.92972999,0.912528098,0.001279461
kvasir_esophagus_1330,28.28502563,0.924802423,0.001484217
kvasir_esophagus_1404,28.92870271,0.92136091,0.001279764
kvasir_esophagus_1419,29.24373816,0.90852195,0.001190217
kvasir_esophagus_1422,25.22236718,0.855052114,0.003004438
kvasir_esophagus_1440,29.42751417,0.874745548,0.001140903
kvasir_esophagus_1480,30.08649346,0.91686666,0.000980281
kvasir_esophagus_1527,28.76501881,0.925514698,0.001328918
kvasir_esophagus_1533,24.37394578,0.870991051,0.003652628
kvasir_esophagus_1537,28.96159573,0.925949514,0.001270107
kvasir_esophagus_1664,26.09935435,0.912508309,0.002455074
kvasir_esophagus_178,24.59879848,0.877124965,0.003468328
kvasir_esophagus_192,27.99309776,0.902527392,0.001587414
kvasir_esophagus_204,29.0325671,0.897994041,0.00124952
kvasir_esophagus_205,29.08679198,0.88433069,0.001234016
kvasir_esophagus_208,23.809231,0.894836783,0.004159843
kvasir_esophagus_226,27.60991075,0.879509926,0.00173384
kvasir_esophagus_257,26.00218001,0.84143132,0.002510626
kvasir_esophagus_265,27.9883293,0.909055173,0.001589158
kvasir_esophagus_306,29.93562581,0.920160651,0.001014933
kvasir_esophagus_314,28.45029109,0.893256962,0.001428798
kvasir_esophagus_315,28.57739944,0.905271888,0.001387586
kvasir_esophagus_323,27.92810591,0.891807616,0.001611348
kvasir_esophagus_340,25.7611593,0.847422242,0.002653897
kvasir_esophagus_364,30.0776799,0.901980937,0.000982273
kvasir_esophagus_377,27.17547282,0.913216472,0.001916252
kvasir_esophagus_378,28.11917041,0.931002259,0.001541995
kvasir_esophagus_399,28.674123,0.894729912,0.001357025
kvasir_esophagus_429,30.67440632,0.899823368,0.000856169
kvasir_esophagus_433,26.23051497,0.843783677,0.002382037
kvasir_esophagus_437,27.30364464,0.897711515,0.001860525
kvasir_esophagus_448,27.98984776,0.893345118,0.001588602
kvasir_esophagus_474,27.6162305,0.893401861,0.001731318
kvasir_esophagus_499,24.65627253,0.918675125,0.003422731
kvasir_esophagus_538,29.88870029,0.930489123,0.001025959
kvasir_esophagus_552,28.91910345,0.936696351,0.001282595
kvasir_esophagus_562,27.81674385,0.895136714,0.001653201
kvasir_esophagus_567,28.36019065,0.871348262,0.00145875
kvasir_esophagus_572,26.36329037,0.888175428,0.002310314
kvasir_esophagus_577,29.07521149,0.920177519,0.001237311
kvasir_esophagus_57,26.48793455,0.917902291,0.002244949
kvasir_esophagus_591,27.03587689,0.887515008,0.001978847
kvasir_esophagus_597,26.90874932,0.900295019,0.002037629
kvasir_esophagus_606,22.09247462,0.884963512,0.006176644
kvasir_esophagus_611,27.54067264,0.902884007,0.001761703
kvasir_esophagus_616,29.06624957,0.882115304,0.001239867
kvasir_esophagus_64,24.59906845,0.850099921,0.003468112
kvasir_esophagus_658,24.83769117,0.920885682,0.003282698
kvasir_esophagus_663,23.39547006,0.873365283,0.004575652
kvasir_esophagus_665,24.91118333,0.86435616,0.003227615
kvasir_esophagus_674,26.64767053,0.863557518,0.002163879
kvasir_esophagus_693,26.56170124,0.886991143,0.00220714
kvasir_esophagus_763,26.6293948,0.893203557,0.002173004
kvasir_esophagus_765,26.12678151,0.909059405,0.002439618
kvasir_esophagus_76,28.19500572,0.879238367,0.001515303
kvasir_esophagus_781,27.7369745,0.86729908,0.001683847
kvasir_esophagus_798,25.61589003,0.871416807,0.00274417
kvasir_esophagus_810,27.75736163,0.935515404,0.001675961
kvasir_esophagus_821,29.60527494,0.905741334,0.001095147
kvasir_esophagus_825,27.81548497,0.89251107,0.00165368
kvasir_esophagus_83,28.48031935,0.920444012,0.001418953
kvasir_esophagus_844,28.75942449,0.915911198,0.001330631
kvasir_esophagus_84,28.37596614,0.874610424,0.001453461
kvasir_esophagus_851,26.30261607,0.885785818,0.002342817
kvasir_esophagus_855,25.54248523,0.856535017,0.002790946
kvasir_esophagus_880,27.85604249,0.881890476,0.001638309
kvasir_esophagus_902,24.96103131,0.893223047,0.00319078
kvasir_esophagus_906,29.51557422,0.925338149,0.001118002
kvasir_esophagus_942,28.42560508,0.896904588,0.001436943
kvasir_esophagus_944,24.59343272,0.879003942,0.003472616
kvasir_esophagus_94,28.77089158,0.89282304,0.001327122
kvasir_esophagus_992,23.96292986,0.869554818,0.004015198
kvasir_no-esophagus_1027,25.58116187,0.895460188,0.002766202
kvasir_no-esophagus_1044,25.77135842,0.883527935,0.002647672
kvasir_no-esophagus_107,28.89378648,0.889972866,0.001290094
kvasir_no-esophagus_1101,25.90453771,0.813153684,0.002567712
kvasir_no-esophagus_1138,31.26526642,0.916507781,0.000747263
kvasir_no-esophagus_1171,24.58507214,0.817712605,0.003479307
kvasir_no-esophagus_1221,29.19950627,0.886999607,0.001202401
kvasir_no-esophagus_1223,28.28516291,0.878132522,0.00148417
kvasir_no-esophagus_1247,27.53330048,0.892437518,0.001764696
kvasir_no-esophagus_125,28.98905811,0.868010461,0.001262101
kvasir_no-esophagus_1293,25.66184888,0.854908228,0.002715283
kvasir_no-esophagus_1299,24.15875257,0.862653017,0.003838175
kvasir_no-esophagus_1314,26.42146561,0.872300923,0.002279573
kvasir_no-esophagus_1331,29.8625826,0.86173594,0.001032147
kvasir_no-esophagus_1348,27.71444418,0.844753444,0.001692605
kvasir_no-esophagus_1380,24.91026299,0.853472531,0.003228299
kvasir_no-esophagus_1414,27.75093902,0.92350167,0.001678441
kvasir_no-esophagus_1497,25.78375339,0.869537473,0.002640126
kvasir_no-esophagus_149,27.54054235,0.885206103,0.001761756
kvasir_no-esophagus_1502,26.35603057,0.890396476,0.002314179
kvasir_no-esophagus_1517,28.18692683,0.881839156,0.001518124
kvasir_no-esophagus_1524,27.50638374,0.893838525,0.001775667
kvasir_no-esophagus_1529,24.59799564,0.8390975,0.003468969
kvasir_no-esophagus_1534,26.48138857,0.884350419,0.002248336
kvasir_no-esophagus_1554,26.51182331,0.905789852,0.002232635
kvasir_no-esophagus_1562,25.645286,0.836497843,0.002725658
kvasir_no-esophagus_1595,26.28172151,0.875400484,0.002354116
kvasir_no-esophagus_1612,27.42033215,0.895318985,0.001811202
kvasir_no-esophagus_1615,24.37109256,0.838874757,0.003655028
kvasir_no-esophagus_1624,27.07148515,0.840141952,0.001962689
kvasir_no-esophagus_1632,28.93196556,0.872376919,0.001278802
kvasir_no-esophagus_1640,25.6726048,0.901241302,0.002708567
kvasir_no-esophagus_1649,24.44764168,0.870052755,0.003591169
kvasir_no-esophagus_1666,24.3962674,0.864820302,0.003633902
kvasir_no-esophagus_1673,23.73557707,0.875979424,0.004230993
kvasir_no-esophagus_1686,29.59094009,0.925970912,0.001098768
kvasir_no-esophagus_1728,25.17356005,0.853609979,0.003038393
kvasir_no-esophagus_1782,27.57167196,0.898295164,0.001749173
kvasir_no-esophagus_1791,28.54974434,0.873049557,0.001396451
kvasir_no-esophagus_1803,27.39167844,0.875786602,0.001823191
kvasir_no-esophagus_1829,27.74226223,0.90745914,0.001681798
kvasir_no-esophagus_1850,26.79397072,0.921534002,0.002092199
kvasir_no-esophagus_189,28.25736494,0.908965588,0.0014937
kvasir_no-esophagus_1922,27.87695921,0.876515925,0.001630437
kvasir_no-esophagus_1968,23.35433298,0.860123873,0.004619199
kvasir_no-esophagus_1976,25.40394194,0.874221742,0.002881415
kvasir_no-esophagus_198,26.0734764,0.874195039,0.002469746
kvasir_no-esophagus_2001,29.13387417,0.922801375,0.00122071
kvasir_no-esophagus_2010,26.41573835,0.841347039,0.002282581
kvasir_no-esophagus_2085,25.20208813,0.87637794,0.0030185
kvasir_no-esophagus_209,27.97259177,0.891497493,0.001594927
kvasir_no-esophagus_20,23.60368525,0.884984612,0.004361456
kvasir_no-esophagus_2118,27.11262021,0.875433624,0.001944187
kvasir_no-esophagus_2120,25.10977975,0.806352198,0.003083344
kvasir_no-esophagus_2200,26.96290725,0.840813339,0.002012377
kvasir_no-esophagus_2212,26.59014456,0.870863736,0.002192732
kvasir_no-esophagus_2233,26.6170067,0.901610136,0.002179211
kvasir_no-esophagus_2312,25.93546654,0.855725288,0.00254949
kvasir_no-esophagus_2348,30.71624719,0.881062865,0.00084796
kvasir_no-esophagus_2351,26.36657025,0.877488375,0.00230857
kvasir_no-esophagus_2355,25.51163511,0.870581269,0.002810842
kvasir_no-esophagus_235,29.42198193,0.88896817,0.001142357
kvasir_no-esophagus_2362,26.30496982,0.881353617,0.002341548
kvasir_no-esophagus_2376,24.49472526,0.892158866,0.003552446
kvasir_no-esophagus_2387,26.36695834,0.870952547,0.002308363
kvasir_no-esophagus_2409,25.80117192,0.896193087,0.002629558
kvasir_no-esophagus_2446,29.01989741,0.921300948,0.001253171
kvasir_no-esophagus_2489,26.37041722,0.854320705,0.002306526
kvasir_no-esophagus_2500,29.00172238,0.868781328,0.001258426
kvasir_no-esophagus_2533,27.10198291,0.923144639,0.001948955
kvasir_no-esophagus_2538,25.40292577,0.840685606,0.002882089
kvasir_no-esophagus_2549,25.84569298,0.894084811,0.002602739
kvasir_no-esophagus_2559,28.50994891,0.88494271,0.001409305
kvasir_no-esophagus_2576,28.56955232,0.901737869,0.001390096
kvasir_no-esophagus_2586,24.70793342,0.91046989,0.003382257
kvasir_no-esophagus_2595,25.05776897,0.887158871,0.003120492
kvasir_no-esophagus_2601,27.08483688,0.831887543,0.001956664
kvasir_no-esophagus_260,26.59971189,0.893853784,0.002187907
kvasir_no-esophagus_2653,23.33445895,0.80811888,0.004640386
kvasir_no-esophagus_2659,25.39920138,0.84858197,0.002884562
kvasir_no-esophagus_2662,22.06639406,0.822008073,0.006213848
kvasir_no-esophagus_2716,25.76117606,0.876796067,0.002653887
kvasir_no-esophagus_2733,21.75544802,0.861672461,0.00667506
kvasir_no-esophagus_273,27.78944864,0.906716704,0.001663624
kvasir_no-esophagus_2747,25.43032153,0.898809254,0.002863966
kvasir_no-esophagus_2815,26.31502342,0.909923017,0.002336134
kvasir_no-esophagus_2838,26.96871976,0.907913744,0.002009685
kvasir_no-esophagus_2885,27.59778204,0.859349072,0.001738689
kvasir_no-esophagus_2897,26.85242862,0.905204952,0.002064225
kvasir_no-esophagus_2899,31.35979906,0.918439984,0.000731173
kvasir_no-esophagus_2907,24.99082463,0.881239712,0.003168966
kvasir_no-esophagus_2910,28.52378128,0.925436556,0.001404824
kvasir_no-esophagus_2916,25.43283327,0.864428997,0.00286231
kvasir_no-esophagus_2941,26.98991168,0.876047373,0.001999903
kvasir_no-esophagus_3019,27.24440851,0.887645364,0.001886076
kvasir_no-esophagus_3035,27.59819148,0.854885578,0.001738525
kvasir_no-esophagus_3041,26.67700901,0.811483681,0.00214931
kvasir_no-esophagus_3068,30.19659475,0.889948487,0.000955742
kvasir_no-esophagus_3084,28.50389353,0.917184889,0.001411272
kvasir_no-esophagus_3090,25.92339208,0.886504412,0.002556588
kvasir_no-esophagus_3099,26.27272138,0.868542433,0.002359
kvasir_no-esophagus_310,29.16537459,0.875448227,0.001211888
kvasir_no-esophagus_3116,24.73954336,0.875091076,0.003357729
kvasir_no-esophagus_3146,26.21808141,0.841828644,0.002388866
kvasir_no-esophagus_3159,28.37816302,0.880687058,0.001452726
kvasir_no-esophagus_3160,30.33376616,0.881538332,0.000926026
kvasir_no-esophagus_3175,23.89807521,0.871929407,0.004075609
kvasir_no-esophagus_319,27.12790315,0.914672196,0.001937357
kvasir_no-esophagus_320,29.15719664,0.863582075,0.001214172
kvasir_no-esophagus_3232,26.60739383,0.874723017,0.00218404
kvasir_no-esophagus_323,26.2329115,0.845334768,0.002380723
kvasir_no-esophagus_3259,24.51778649,0.855934322,0.003533632
kvasir_no-esophagus_325,27.03510229,0.891710997,0.0019792
kvasir_no-esophagus_3276,29.56816646,0.893195152,0.001104545
kvasir_no-esophagus_3288,28.00916116,0.903697252,0.001581553
kvasir_no-esophagus_3293,26.70578733,0.891366422,0.002135115
kvasir_no-esophagus_3300,24.59064349,0.860721588,0.003474847
kvasir_no-esophagus_3306,28.86855467,0.915407836,0.001297611
kvasir_no-esophagus_3338,27.58013412,0.894250572,0.001745768
kvasir_no-esophagus_3373,23.05235742,0.81697458,0.004951813
kvasir_no-esophagus_3375,31.32994802,0.907259107,0.000736216
kvasir_no-esophagus_3457,25.8553584,0.881326437,0.002596953
kvasir_no-esophagus_3468,28.71363468,0.844247103,0.001344734
kvasir_no-esophagus_3554,25.620099,0.887673378,0.002741512
kvasir_no-esophagus_3557,25.51651843,0.866245091,0.002807684
kvasir_no-esophagus_3576,28.86402449,0.883049667,0.001298965
kvasir_no-esophagus_3577,26.57309214,0.917924404,0.002201359
kvasir_no-esophagus_3578,24.58910846,0.837968349,0.003476075
kvasir_no-esophagus_3587,27.69867655,0.896453083,0.001698761
kvasir_no-esophagus_3609,29.24042823,0.911939859,0.001191125
kvasir_no-esophagus_3637,28.2727496,0.878644466,0.001488418
kvasir_no-esophagus_3744,26.71939547,0.874003947,0.002128435
kvasir_no-esophagus_37,25.66967669,0.886863589,0.002710393
kvasir_no-esophagus_3818,26.36958741,0.864419103,0.002306966
kvasir_no-esophagus_3855,27.02902379,0.872857273,0.001981972
kvasir_no-esophagus_392,27.21074208,0.886520207,0.001900753
kvasir_no-esophagus_437,27.06263537,0.883569956,0.001966693
kvasir_no-esophagus_451,26.85617174,0.895220518,0.002062447
kvasir_no-esophagus_457,27.11154062,0.867526829,0.00194467
kvasir_no-esophagus_484,27.80998372,0.850019574,0.001655776
kvasir_no-esophagus_503,30.30399986,0.896426201,0.000932395
kvasir_no-esophagus_520,26.51483526,0.874691367,0.002231087
kvasir_no-esophagus_537,29.03129515,0.892837644,0.001249886
kvasir_no-esophagus_538,29.92492238,0.867554307,0.001017438
kvasir_no-esophagus_542,25.8035194,0.876544833,0.002628137
kvasir_no-esophagus_54,28.6629038,0.881383359,0.001360535
kvasir_no-esophagus_556,28.82119894,0.880833507,0.001311838
kvasir_no-esophagus_614,24.50722701,0.882866323,0.003542234
kvasir_no-esophagus_617,28.98996634,0.887339473,0.001261837
kvasir_no-esophagus_654,21.71213614,0.890058279,0.006741963
kvasir_no-esophagus_678,26.90889919,0.875878572,0.002037558
kvasir_no-esophagus_685,29.22641057,0.905575931,0.001194975
kvasir_no-esophagus_689,25.70075856,0.844874263,0.002691065
kvasir_no-esophagus_74,26.81204038,0.916651964,0.002083512
kvasir_no-esophagus_775,26.68290273,0.898010433,0.002146395
kvasir_no-esophagus_81,25.3970881,0.905907393,0.002885966
kvasir_no-esophagus_856,26.43548669,0.876199722,0.002272225
kvasir_no-esophagus_893,26.54721579,0.898985088,0.002214514
kvasir_no-esophagus_899,30.00558403,0.892783284,0.000998715
kvasir_no-esophagus_932,25.75625918,0.841880858,0.002656893
kvasir_no-esophagus_975,24.84093255,0.855003774,0.003280248
seq11_endocv22_361,26.57415059,0.835319579,0.002200822
seq16_endocv22_000,28.41007487,0.907415986,0.00144209
seq16_endocv22_0022,19.89038913,0.87823981,0.0102556
seq16_endocv22_0025,29.12906828,0.904528201,0.001222062
seq16_endocv22_0037,26.25139821,0.898477554,0.00237061
seq16_endocv22_006,28.0695131,0.901961327,0.001559727
seq17_endocv22_0016,28.54679789,0.911843419,0.001397398
seq17_endocv22_0037,27.04994881,0.9119277,0.001972446
seq17_endocv22_0065,31.18545572,0.926044583,0.000761122
seq17_endocv22_0067,26.85279015,0.899519861,0.002064054
seq17_endocv22_0068,29.30603394,0.916932583,0.001173266
seq18_endocv22_001,26.95053134,0.893728614,0.002018119
seq18_endocv22_0029,28.13291018,0.902509809,0.001537124
seq18_endocv22_0030,28.71879912,0.909234345,0.001343136
seq18_endocv22_006,26.16373616,0.892650664,0.002418947
seq19_endocv22_0041,27.84762613,0.905380785,0.001641487
seq19_endocv22_0049,30.23419475,0.932095647,0.000947503
seq20_endocv22_0023,27.41976161,0.924276352,0.00181144
seq20_endocv22_0057,27.5356894,0.908031464,0.001763726
seq20_endocv22_0064,28.39303835,0.912859499,0.001447759
seq22_endocv22_0019,29.45488468,0.929074585,0.001133735
seq23_endocv22_0034,26.59925946,0.874098182,0.002188135
seq23_endocv22_0042,25.8182668,0.902451575,0.002619228
seq23_endocv22_0044,27.15359836,0.932153702,0.001925929
seq24_endocv22_000,27.66727152,0.892622232,0.00171109
seq24_endocv22_0036,27.81128103,0.92727077,0.001655282
seq24_endocv22_006,27.07444596,0.889726818,0.001961351
seq6_endocv22_191,26.21502298,0.855700374,0.002390549
seq6_endocv22_195,26.28651387,0.841762543,0.00235152
seq8_endocv22_282,26.43405754,0.808125615,0.002272973
seq8_endocv22_284,26.58506017,0.782968879,0.002195301
seq9_endocv22_289,26.85498102,0.844624221,0.002063013
seq9_endocv22_310,28.09718851,0.854756653,0.00154982
,27.05353741,0.884553433,0.00216966
